Customer,State,State - Cleaned,GENDER,Gender (Clean),Education,Education (Clean), Customer Lifetime Value , CLV - Cleaned , Income , Income (Cleaned) , Monthly Premium Auto , Number of Open Complaints ,Number of Open Complaints,Policy Type,Vehicle Class, Total Claim Amount ,,,State,,,NA,NA,,Master,Masters,,Policy Type,,Vehicle Class
SX51350,California,California,M,Male,College,College," £4,738.99 "," £4,738.99 ", £-   ," £39,295.70 ", 67 ,1/0/00,,Personal Auto,Four-Door Car, £482.40 ,,,,,,,,,,,,,,
VQ65197,California,California,NA,NA,College,College," £8,197.20 "," £8,197.20 ", £-   ," £39,295.70 ", 110 ,1/0/00,,Personal Auto,SUV, £528.00 ,,,,,,,,,,,,,,
DP39365,California,California,NA,NA,Master,Masters," £8,798.80 "," £8,798.80 "," £77,026.00 "," £77,026.00 ", 110 ,01/02/2000,,Corporate Auto,Four-Door Car, £472.03 ,,,,,,,,,,,,,,
SJ95423,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £8,819.02 "," £8,819.02 "," £99,845.00 "," £99,845.00 ", 110 ,01/01/2000,,Corporate Auto,SUV, £528.00 ,,,,,,,,,,,,,,
IL66569,California,California,NA,NA,College,College," £5,384.43 "," £5,384.43 "," £83,689.00 "," £83,689.00 ", 70 ,01/02/2000,,Corporate Auto,Four-Door Car, £307.14 ,,,,,,,,,,,,,,
BW63560,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £7,463.14 "," £7,463.14 "," £24,599.00 "," £24,599.00 ", 64 ,01/01/2000,,Corporate Auto,Four-Door Car, £42.92 ,,,,,,,,,,,,,,
FV94802,Nevada,Nevada,NA,NA,High School or Below,High School or Below," £2,566.87 "," £2,566.87 "," £25,049.00 "," £25,049.00 ", 67 ,1/0/00,,Personal Auto,Two-Door Car, £454.25 ,,,,,,,,,,,,,,
OE15005,Cali,California,NA,NA,College,College," £3,945.24 "," £3,945.24 "," £28,855.00 "," £28,855.00 ", 101 ,1/0/00,,Personal Auto,SUV, £647.44 ,,,,,,,,,,,,,,
WC83389,Oregon,Oregon,NA,NA,College,College," £5,710.33 "," £5,710.33 "," £51,148.00 "," £51,148.00 ", 72 ,1/0/00,,Personal Auto,Four-Door Car, £308.98 ,,,,,,,,,,,,,,
FL50705,California,California,NA,NA,High School or Below,High School or Below," £8,162.62 "," £8,162.62 "," £66,140.00 "," £66,140.00 ", 101 ,1/0/00,,Corporate Auto,Four-Door Car, £484.80 ,,,,,,,,,,,,,,
ZK25313,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £2,872.05 "," £2,872.05 "," £57,749.00 "," £57,749.00 ", 74 ,1/0/00,,Personal Auto,Two-Door Car, £355.20 ,,,,,,,,,,,,,,
QK46697,Washington,Washington,M,Male,Bachelors,Bachelors," £6,177.11 "," £6,177.11 "," £61,040.00 "," £61,040.00 ", 79 ,01/01/2000,,Personal Auto,Two-Door Car, £20.38 ,,,,,,,,,,,,,,
YH23384,Arizona,Arizona,NA,NA,Bachelor,Bachelors," £24,127.50 "," £24,127.50 "," £14,072.00 "," £14,072.00 ", 71 ,1/0/00,,Personal Auto,Four-Door Car, £511.20 ,,,,,,,,,,,,,,
TZ98966,Nevada,Nevada,NA,NA,Bachelor,Bachelors," £2,450.19 "," £2,450.19 ", £-   ," £39,295.70 ", 73 ,01/03/2000,,Corporate Auto,Four-Door Car, £554.38 ,,,,,,,,,,,,,,
HM55802,California,California,NA,NA,Bachelor,Bachelors," £2,392.11 "," £2,392.11 "," £17,870.00 "," £17,870.00 ", 61 ,1/0/00,,Corporate Auto,Four-Door Car, £439.20 ,,,,,,,,,,,,,,
FS42516,Oregon,Oregon,NA,NA,College,College," £5,802.07 "," £5,802.07 "," £97,541.00 "," £97,541.00 ", 72 ,1/0/00,,Personal Auto,Four-Door Car, £389.19 ,,,,,,,,,,,,,,
US89481,California,California,NA,NA,Bachelor,Bachelors," £3,946.37 "," £3,946.37 ", £-   ," £39,295.70 ", 111 ,1/0/00,,Personal Auto,Four-Door Car, £799.20 ,,,,,,,,,,,,,,
HS14476,Washington,Washington,M,Male,College,College," £9,162.06 "," £9,162.06 "," £29,723.00 "," £29,723.00 ", 80 ,1/0/00,,Personal Auto,Four-Door Car, £20.99 ,,,,,,,,,,,,,,
GE62437,AZ,Arizona,NA,NA,College,College," £12,902.56 "," £12,902.56 "," £86,584.00 "," £86,584.00 ", 111 ,01/02/2000,,Personal Auto,Four-Door Car, £532.80 ,,,,,,,,,,,,,,
EJ77678,Oregon,Oregon,NA,NA,Master,Masters," £3,235.36 "," £3,235.36 "," £75,690.00 "," £75,690.00 ", 80 ,01/01/2000,,Personal Auto,Four-Door Car, £384.00 ,,,,,,,,,,,,,,
SV85652,Arizona,Arizona,NA,NA,College,College," £2,454.58 "," £2,454.58 "," £23,158.00 "," £23,158.00 ", 63 ,01/01/2000,,Personal Auto,Four-Door Car, £322.29 ,,,,,,,,,,,,,,
UL64533,Nevada,Nevada,NA,NA,High School or Below,High School or Below," £18,975.46 "," £18,975.46 "," £65,999.00 "," £65,999.00 ", 237 ,1/0/00,,Corporate Auto,Luxury SUV, £615.93 ,,,,,,,,,,,,,,
PF41800,California,California,NA,NA,Bachelor,Bachelors," £4,715.32 "," £4,715.32 ", £-   ," £39,295.70 ", 65 ,1/0/00,,Personal Auto,Four-Door Car, £308.15 ,,,,,,,,,,,,,,
HD95276,Washington,Washington,F,Female,College,College," £4,737.87 "," £4,737.87 ", £-   ," £39,295.70 ", 130 ,1/0/00,,Personal Auto,SUV, £23.82 ,,,,,,,,,,,,,,
SK67821,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £4,932.92 "," £4,932.92 "," £37,260.00 "," £37,260.00 ", 62 ,1/0/00,,Corporate Auto,Four-Door Car, £15.44 ,,,,,,,,,,,,,,
YV55495,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £5,744.23 "," £5,744.23 "," £68,987.00 "," £68,987.00 ", 71 ,1/0/00,,Personal Auto,Four-Door Car, £204.48 ,,,,,,,,,,,,,,
KY38074,California,California,NA,NA,Bachelor,Bachelors," £13,891.74 "," £13,891.74 "," £42,305.00 "," £42,305.00 ", 117 ,1/0/00,,Personal Auto,Four-Door Car, £561.60 ,,,,,,,,,,,,,,
DM79012,Oregon,Oregon,NA,NA,Master,Masters," £7,380.98 "," £7,380.98 "," £65,706.00 "," £65,706.00 ", 91 ,1/0/00,,Personal Auto,Four-Door Car, £436.80 ,,,,,,,,,,,,,,
CM61827,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £3,090.03 "," £3,090.03 ", £-   ," £39,295.70 ", 90 ,1/0/00,,Personal Auto,Two-Door Car, £648.00 ,,,,,,,,,,,,,,
WC35801,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £2,521.63 "," £2,521.63 "," £53,243.00 "," £53,243.00 ", 66 ,01/02/2000,,Personal Auto,Four-Door Car, £157.40 ,,,,,,,,,,,,,,
QG25316,Nevada,Nevada,NA,NA,High School or Below,High School or Below," £2,652.06 "," £2,652.06 ", £-   ," £39,295.70 ", 70 ,01/01/2000,,Corporate Auto,Two-Door Car, £484.32 ,,,,,,,,,,,,,,
MB98372,Oregon,Oregon,NA,NA,College,College," £2,771.05 "," £2,771.05 "," £50,071.00 "," £50,071.00 ", 71 ,1/0/00,,Corporate Auto,Two-Door Car, £18.92 ,,,,,,,,,,,,,,
IL19217,California,California,NA,NA,Bachelor,Bachelors," £3,939.01 "," £3,939.01 "," £60,021.00 "," £60,021.00 ", 99 ,1/0/00,,Personal Auto,Four-Door Car, £882.87 ,,,,,,,,,,,,,,
SR38658,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £12,231.88 "," £12,231.88 "," £43,244.00 "," £43,244.00 ", 103 ,1/0/00,,Personal Auto,Sports Car, £494.40 ,,,,,,,,,,,,,,
YD87931,Washington,Washington,M,Male,Doctor,Doctor," £4,951.66 "," £4,951.66 "," £46,896.00 "," £46,896.00 "," 35,354 ",01/01/2000,,Personal Auto,Four-Door Car, £31.71 ,,,,,,,,,,,,,,
HG65722,Oregon,Oregon,NA,NA,Doctor,Doctor," £12,819.10 "," £12,819.10 "," £10,105.00 "," £10,105.00 ", 172 ,01/03/2000,,Personal Auto,SUV, £0.52 ,,,,,,,,,,,,,,
BU27331,Arizona,Arizona,NA,NA,Bachelor,Bachelors," £4,468.51 "," £4,468.51 ", £-   ," £39,295.70 ", 73 ,01/03/2000,,Personal Auto,Four-Door Car, £579.17 ,,,,,,,,,,,,,,
XM45289,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £5,514.34 "," £5,514.34 "," £23,218.00 "," £23,218.00 ", 71 ,1/0/00,,Personal Auto,Two-Door Car, £447.79 ,,,,,,,,,,,,,,
KP34198,California,California,NA,NA,Bachelor,Bachelors," £3,343.88 "," £3,343.88 ", £-   ," £39,295.70 ", 92 ,1/0/00,,Corporate Auto,Four-Door Car, £529.62 ,,,,,,,,,,,,,,
SH90947,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £2,294.48 "," £2,294.48 ", £-   ," £39,295.70 ", 62 ,1/0/00,,Personal Auto,Four-Door Car, £313.02 ,,,,,,,,,,,,,,
WE95729,Oregon,Oregon,NA,NA,College,College," £36,707.43 "," £36,707.43 "," £24,804.00 "," £24,804.00 ", 104 ,1/0/00,,Personal Auto,SUV, £593.83 ,,,,,,,,,,,,,,
PY51963,California,California,NA,NA,Bachelor,Bachelors," £33,473.35 "," £33,473.35 "," £33,190.00 "," £33,190.00 ", 106 ,1/0/00,,Corporate Auto,SUV, £508.80 ,,,,,,,,,,,,,,
RB69909,Nevada,Nevada,NA,NA,High School or Below,High School or Below," £7,983.43 "," £7,983.43 "," £36,014.00 "," £36,014.00 ", 69 ,01/03/2000,,Special Auto,Four-Door Car, £173.96 ,,,,,,,,,,,,,,
NW21079,Washington,Washington,F,Female,Master,Masters," £4,879.38 "," £4,879.38 "," £67,163.00 "," £67,163.00 ", 61 ,01/02/2000,,Personal Auto,Two-Door Car, £33.19 ,,,,,,,,,,,,,,
FR46645,California,California,NA,NA,Bachelor,Bachelors," £4,294.00 "," £4,294.00 "," £16,701.00 "," £16,701.00 ", 113 ,1/0/00,,Personal Auto,Four-Door Car, £831.63 ,,,,,,,,,,,,,,
SY17488,Arizona,Arizona,NA,NA,College,College," £7,164.40 "," £7,164.40 "," £46,623.00 "," £46,623.00 ", 91 ,1/0/00,,Corporate Auto,Four-Door Car, £436.80 ,,,,,,,,,,,,,,
AP67935,California,California,NA,NA,College,College," £7,619.52 "," £7,619.52 "," £64,749.00 "," £64,749.00 ", 64 ,1/0/00,,Special Auto,Four-Door Car, £302.57 ,,,,,,,,,,,,,,
FS37417,Arizona,Arizona,NA,NA,High School or Below,High School or Below," £3,958.00 "," £3,958.00 ", £-   ," £39,295.70 ", 101 ,1/0/00,,Personal Auto,SUV, £484.80 ,,,,,,,,,,,,,,
ML29312,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £4,499.49 "," £4,499.49 "," £16,969.00 "," £16,969.00 ", 124 ,01/02/2000,,Personal Auto,SUV, £704.77 ,,,,,,,,,,,,,,
UB61619,Oregon,Oregon,NA,NA,Master,Masters," £4,059.57 "," £4,059.57 "," £11,621.00 "," £11,621.00 ", 108 ,1/0/00,,Personal Auto,Four-Door Car, £518.40 ,,,,,,,,,,,,,,
CD86811,Arizona,Arizona,NA,NA,Bachelor,Bachelors," £4,458.11 "," £4,458.11 "," £17,622.00 "," £17,622.00 ", 65 ,01/01/2000,,Personal Auto,Four-Door Car, £312.00 ,,,,,,,,,,,,,,
RU83859,California,California,NA,NA,Bachelor,Bachelors," £8,110.33 "," £8,110.33 "," £11,489.00 "," £11,489.00 ", 105 ,1/0/00,,Personal Auto,Two-Door Car, £504.00 ,,,,,,,,,,,,,,
FG63582,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £3,339.76 "," £3,339.76 ", £-   ," £39,295.70 ", 94 ,1/0/00,,Personal Auto,Two-Door Car, £863.33 ,,,,,,,,,,,,,,
NN71951,California,California,NA,NA,High School or Below,High School or Below," £24,261.02 "," £24,261.02 "," £66,525.00 "," £66,525.00 ", 100 ,1/0/00,,Personal Auto,SUV, £104.33 ,,,,,,,,,,,,,,
WB37082,Arizona,Arizona,NA,NA,Bachelor,Bachelors," £6,613.97 "," £6,613.97 ", £-   ," £39,295.70 ", 63 ,1/0/00,,Personal Auto,Four-Door Car, £676.39 ,,,,,,,,,,,,,,
SM52139,WA,Washington,NA,NA,College,College," £2,930.69 "," £2,930.69 "," £33,663.00 "," £33,663.00 ", 73 ,1/0/00,,Personal Auto,Four-Door Car, £350.40 ,,,,,,,,,,,,,,
FL82372,Oregon,Oregon,NA,NA,College,College," £8,672.19 "," £8,672.19 "," £22,547.00 "," £22,547.00 ", 112 ,1/0/00,,Corporate Auto,SUV, £537.60 ,,,,,,,,,,,,,,
DP45816,AZ,Arizona,NA,NA,High School or Below,High School or Below," £11,638.67 "," £11,638.67 "," £61,486.00 "," £61,486.00 ", 97 ,1/0/00,,Personal Auto,Two-Door Car, £465.26 ,,,,,,,,,,,,,,
GW33762,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £6,846.15 "," £6,846.15 ", £-   ," £39,295.70 ", 95 ,1/0/00,,Personal Auto,Two-Door Car, £456.00 ,,,,,,,,,,,,,,
RZ33670,California,California,NA,NA,College,College," £11,727.78 "," £11,727.78 "," £29,879.00 "," £29,879.00 ", 102 ,1/0/00,,Personal Auto,Four-Door Car, £500.25 ,,,,,,,,,,,,,,
PY70169,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £22,643.83 "," £22,643.83 "," £93,011.00 "," £93,011.00 ", 113 ,1/0/00,,Personal Auto,SUV, £281.45 ,,,,,,,,,,,,,,
MO91628,Oregon,Oregon,NA,NA,Master,Masters," £2,614.47 "," £2,614.47 "," £65,186.00 "," £65,186.00 ", 65 ,1/0/00,,Personal Auto,Two-Door Car, £5.43 ,,,,,,,,,,,,,,
HW87852,Oregon,Oregon,NA,NA,Master,Masters," £2,451.75 "," £2,451.75 "," £26,840.00 "," £26,840.00 ", 64 ,01/02/2000,,Personal Auto,Four-Door Car, £307.20 ,,,,,,,,,,,,,,
HB20453,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £6,781.27 "," £6,781.27 ", £-   ," £39,295.70 ", 104 ,01/01/2000,,Personal Auto,Sports Car, £982.40 ,,,,,,,,,,,,,,
BN87372,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £4,974.80 "," £4,974.80 "," £75,644.00 "," £75,644.00 ", 65 ,01/03/2000,,Personal Auto,Two-Door Car, £467.80 ,,,,,,,,,,,,,,
YX23800,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £8,591.60 "," £8,591.60 "," £38,984.00 "," £38,984.00 ", 73 ,1/0/00,,Personal Auto,Four-Door Car, £350.40 ,,,,,,,,,,,,,,
DZ87709,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £5,592.16 "," £5,592.16 "," £71,811.00 "," £71,811.00 ", 71 ,1/0/00,,Personal Auto,Four-Door Car, £29.03 ,,,,,,,,,,,,,,
XW13033,Nevada,Nevada,NA,NA,College,College," £8,009.47 "," £8,009.47 "," £20,961.00 "," £20,961.00 ", 67 ,1/0/00,,Personal Auto,Four-Door Car, £321.60 ,,,,,,,,,,,,,,
SP81997,Washington,Washington,F,Female,Master,Masters,," £7,910.08 "," £41,275.00 "," £41,275.00 ", 96 ,1/0/00,,Personal Auto,Four-Door Car, £41.12 ,,,,,,,,,,,,,,
OM82309,California,California,NA,NA,Bachelor,Bachelors," £58,166.55 "," £58,166.55 "," £61,321.00 "," £61,321.00 ", 186 ,01/01/2000,,Personal Auto,Luxury Car, £427.63 ,,,,,,,,,,,,,,
ZU35962,California,California,NA,NA,College,College," £8,025.23 "," £8,025.23 ", £-   ," £39,295.70 ", 77 ,1/0/00,,Personal Auto,Two-Door Car, £25.81 ,,,,,,,,,,,,,,
VH85817,California,California,NA,NA,High School or Below,High School or Below," £5,780.18 "," £5,780.18 "," £51,066.00 "," £51,066.00 ", 74 ,1/0/00,,Personal Auto,Four-Door Car, £787.99 ,,,,,,,,,,,,,,
DT85712,California,California,NA,NA,Doctor,Doctor," £4,118.54 "," £4,118.54 "," £34,378.00 "," £34,378.00 ", 102 ,1/0/00,,Personal Auto,SUV, £489.60 ,,,,,,,,,,,,,,
YJ88573,Nevada,Nevada,NA,NA,Master,Masters," £2,523.07 "," £2,523.07 "," £43,072.00 "," £43,072.00 ", 63 ,1/0/00,,Personal Auto,Four-Door Car, £302.40 ,,,,,,,,,,,,,,
SQ19467,Oregon,Oregon,NA,NA,College,College," £6,554.22 "," £6,554.22 "," £25,222.00 "," £25,222.00 ", 90 ,1/0/00,,Personal Auto,Four-Door Car, £475.62 ,,,,,,,,,,,,,,
YB66933,Washington,Washington,F,Female,Bachelor,Bachelors," £5,382.75 "," £5,382.75 "," £77,552.00 "," £77,552.00 ", 68 ,01/01/2000,,Corporate Auto,Four-Door Car, £45.22 ,,,,,,,,,,,,,,
ET79815,California,California,NA,NA,College,College," £5,926.73 "," £5,926.73 "," £23,091.00 "," £23,091.00 ", 96 ,01/05/2000,,Personal Auto,Four-Door Car, £460.80 ,,,,,,,,,,,,,,
QC35222,California,California,NA,NA,Bachelor,Bachelors," £2,683.47 "," £2,683.47 "," £48,269.00 "," £48,269.00 ", 69 ,01/03/2000,,Corporate Auto,Four-Door Car, £282.15 ,,,,,,,,,,,,,,
CJ15590,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £2,695.18 "," £2,695.18 "," £32,720.00 "," £32,720.00 ", 67 ,1/0/00,,Personal Auto,Four-Door Car, £321.60 ,,,,,,,,,,,,,,
OI48267,California,California,NA,NA,College,College," £6,047.03 "," £6,047.03 "," £20,396.00 "," £20,396.00 ", 76 ,01/01/2000,,Personal Auto,Four-Door Car, £364.80 ,,,,,,,,,,,,,,
JY67916,Oregon,Oregon,NA,NA,College,College," £13,171.01 "," £13,171.01 "," £21,513.00 "," £21,513.00 ", 119 ,01/01/2000,,Personal Auto,Two-Door Car, £679.83 ,,,,,,,,,,,,,,
OW15518,Washington,Washington,F,Female,College,College," £15,950.02 "," £15,950.02 ", £-   ," £39,295.70 ", 87 ,01/01/2000,,Personal Auto,Two-Door Car, £46.04 ,,,,,,,,,,,,,,
CZ33664,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £2,527.65 "," £2,527.65 "," £80,744.00 "," £80,744.00 ", 63 ,1/0/00,,Corporate Auto,Four-Door Car, £11.88 ,,,,,,,,,,,,,,
WK30175,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £2,672.10 "," £2,672.10 "," £52,822.00 "," £52,822.00 ", 67 ,1/0/00,,Corporate Auto,Two-Door Car, £350.53 ,,,,,,,,,,,,,,
ON44465,California,California,NA,NA,High School or Below,High School or Below," £5,313.29 "," £5,313.29 ", £-   ," £39,295.70 ", 77 ,01/01/2000,,Personal Auto,Four-Door Car, £863.39 ,,,,,,,,,,,,,,
TV87155,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £20,946.19 "," £20,946.19 "," £69,738.00 "," £69,738.00 ", 74 ,01/01/2000,,Personal Auto,Four-Door Car, £492.13 ,,,,,,,,,,,,,,
KH48895,AZ,Arizona,NA,NA,Master,Masters," £8,375.35 "," £8,375.35 "," £17,780.00 "," £17,780.00 ", 109 ,1/0/00,,Personal Auto,SUV, £132.59 ,,,,,,,,,,,,,,
NZ30757,California,California,NA,NA,Bachelor,Bachelors," £4,801.66 "," £4,801.66 "," £18,107.00 "," £18,107.00 ", 62 ,1/0/00,,Personal Auto,Four-Door Car, £297.60 ,,,,,,,,,,,,,,
RI22468,AZ,Arizona,NA,NA,Bachelor,Bachelors," £5,745.94 "," £5,745.94 "," £57,740.00 "," £57,740.00 ", 74 ,01/03/2000,,Personal Auto,Four-Door Car, £269.91 ,,,,,,,,,,,,,,
FZ30935,Oregon,Oregon,NA,NA,College,College," £6,066.12 "," £6,066.12 "," £32,627.00 "," £32,627.00 ", 76 ,1/0/00,,Personal Auto,Two-Door Car, £380.04 ,,,,,,,,,,,,,,
UG93476,California,California,NA,NA,College,College," £8,002.31 "," £8,002.31 ", £-   ," £39,295.70 ", 107 ,1/0/00,,Personal Auto,SUV, £513.60 ,,,,,,,,,,,,,,
AB96670,California,California,NA,NA,College,College," £2,393.92 "," £2,393.92 ", £-   ," £39,295.70 ", 70 ,1/0/00,,Personal Auto,Four-Door Car, £425.27 ,,,,,,,,,,,,,,
XK64261,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £4,762.82 "," £4,762.82 "," £65,795.00 "," £65,795.00 ", 62 ,01/01/2000,,Corporate Auto,Two-Door Car, £49.01 ,,,,,,,,,,,,,,
EV68375,California,California,NA,NA,College,College," £4,330.39 "," £4,330.39 "," £60,475.00 "," £60,475.00 ", 107 ,1/0/00,,Personal Auto,Four-Door Car, £513.60 ,,,,,,,,,,,,,,
UN51653,California,California,NA,NA,High School or Below,High School or Below," £9,402.73 "," £9,402.73 ", £-   ," £39,295.70 ", 130 ,1/0/00,,Personal Auto,SUV, £936.00 ,,,,,,,,,,,,,,
TO96662,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £6,966.69 "," £6,966.69 "," £41,837.00 "," £41,837.00 ", 88 ,1/0/00,,Personal Auto,Four-Door Car, £142.06 ,,,,,,,,,,,,,,
MR52087,California,California,NA,NA,Bachelor,Bachelors," £7,694.06 "," £7,694.06 "," £32,303.00 "," £32,303.00 ", 65 ,1/0/00,,Personal Auto,Four-Door Car, £45.15 ,,,,,,,,,,,,,,
DE75225,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £8,717.56 "," £8,717.56 ", £-   ," £39,295.70 ", 117 ,01/01/2000,,Personal Auto,SUV, £561.60 ,,,,,,,,,,,,,,
EP80820,California,California,NA,NA,Bachelor,Bachelors," £5,928.75 "," £5,928.75 "," £40,531.00 "," £40,531.00 ", 74 ,1/0/00,,Personal Auto,Two-Door Car, £30.57 ,,,,,,,,,,,,,,
GU99037,Oregon,Oregon,NA,NA,College,College," £2,452.98 "," £2,452.98 "," £79,898.00 "," £79,898.00 ", 62 ,01/01/2000,,Corporate Auto,Four-Door Car, £271.61 ,,,,,,,,,,,,,,
WI57118,California,California,NA,NA,College,College," £6,701.57 "," £6,701.57 "," £56,398.00 "," £56,398.00 ", 85 ,1/0/00,,Personal Auto,Four-Door Car, £408.00 ,,,,,,,,,,,,,,
GP39118,Washington,Washington,M,Male,High School or Below,High School or Below," £4,996.55 "," £4,996.55 "," £71,600.00 "," £71,600.00 ", 63 ,1/0/00,,Personal Auto,Two-Door Car, £46.16 ,,,,,,,,,,,,,,
MQ14219,AZ,Arizona,NA,NA,College,College," £8,492.70 "," £8,492.70 "," £27,804.00 "," £27,804.00 ", 109 ,1/0/00,,Personal Auto,SUV, £784.80 ,,,,,,,,,,,,,,
KN20603,Oregon,Oregon,NA,NA,Bachelor,Bachelors," £7,713.49 "," £7,713.49 "," £45,506.00 "," £45,506.00 ", 66 ,01/02/2000,,Personal Auto,Four-Door Car, £316.80 ,,,,,,,,,,,,,,
SG20925,Washington,Washington,F,Female,Master,Masters," £5,185.80 "," £5,185.80 "," £99,428.00 "," £99,428.00 "," 6,464 ",01/01/2000,,Personal Auto,Four-Door Car, £48.05 ,,,,,,,,,,,,,,
JI70886,California,California,NA,NA,High School or Below,High School or Below," £7,290.07 "," £7,290.07 ", £-   ," £39,295.70 ", 102 ,01/01/2000,,Corporate Auto,SUV, £489.60 ,,,,,,,,,,,,,,
VF72557,Oregon,Oregon,NA,NA,High School or Below,High School or Below," £4,772.94 "," £4,772.94 "," £20,993.00 "," £20,993.00 ", 133 ,1/0/00,,Personal Auto,SUV, £638.40 ,,,,,,,,,,,,,,
OX28638,AZ,Arizona,NA,NA,High School or Below,High School or Below," £6,806.49 "," £6,806.49 "," £37,839.00 "," £37,839.00 ", 86 ,1/0/00,,Personal Auto,Two-Door Car, £465.63 ,,,,,,,,,,,,,,
SK55033,California,California,NA,NA,Bachelor,Bachelors," £2,469.78 "," £2,469.78 "," £92,711.00 "," £92,711.00 ", 62 ,1/0/00,,Personal Auto,Two-Door Car, £368.40 ,,,,,,,,,,,,,,
OO88645,California,California,NA,NA,College,College," £3,103.92 "," £3,103.92 "," £74,665.00 "," £74,665.00 ", 78 ,01/02/2000,,Corporate Auto,Four-Door Car, £236.90 ,,,,,,,,,,,,,,
FM14335,Washington,Washington,F,Female,College,College," £10,484.92 "," £10,484.92 "," £61,108.00 "," £61,108.00 ", 89 ,1/0/00,,Personal Auto,Four-Door Car, £49.45 ,,,,,,,,,,,,,,
CW82151,California,California,NA,NA,Bachelor,Bachelors," £8,902.74 "," £8,902.74 "," £46,833.00 "," £46,833.00 ", 112 ,1/0/00,,Personal Auto,Sports Car, £64.11 ,,,,,,,,,,,,,,
