File,Customer,ST,GENDER,Education,Customer Lifetime Value,Income,Monthly Premium Auto,Number of Open Complaints,Policy Type,Vehicle Class,Total Claim Amount
file1.csv,SK67821,Oregon,NA,Bachelor,493291.63%,37260,62.0,1/0/00,Corporate Auto,Four-Door Car,15.437681
file1.csv,YV55495,Arizona,NA,High School or Below,574422.97%,68987,71.0,1/0/00,Personal Auto,Four-Door Car,204.475147
file1.csv,KY38074,California,NA,Bachelor,1389173.57%,42305,117.0,1/0/00,Personal Auto,Four-Door Car,561.6
file1.csv,DM79012,Oregon,NA,Master,738097.67%,65706,91.0,1/0/00,Personal Auto,Four-Door Car,436.8
file1.csv,CM61827,Oregon,NA,Bachelor,309003.41%,0,90.0,1/0/00,Personal Auto,Two-Door Car,648
file1.csv,WC35801,Arizona,NA,High School or Below,252163.31%,53243,66.0,1/2/00,Personal Auto,Four-Door Car,157.397849
file1.csv,QG25316,Nevada,NA,High School or Below,265206.18%,0,70.0,1/1/00,Corporate Auto,Two-Door Car,484.318536
file1.csv,MB98372,Oregon,NA,College,277104.50%,50071,71.0,1/0/00,Corporate Auto,Two-Door Car,18.918935
file1.csv,IL19217,California,NA,Bachelor,393900.64%,60021,99.0,1/0/00,Personal Auto,Four-Door Car,882.871945
file1.csv,SR38658,Arizona,NA,High School or Below,1223187.97%,43244,103.0,1/0/00,Personal Auto,Sports Car,494.4
file1.csv,YD87931,Washington,M,Doctor,495165.61%,46896,35354.0,1/1/00,Personal Auto,Four-Door Car,31.707317
file1.csv,HG65722,Oregon,NA,Doctor,1281910.29%,10105,172.0,1/3/00,Personal Auto,SUV,0.517753
file1.csv,BU27331,Arizona,NA,Bachelor,446851.05%,0,73.0,1/3/00,Personal Auto,Four-Door Car,579.165954
file1.csv,XM45289,Oregon,NA,High School or Below,551434.40%,23218,71.0,1/0/00,Personal Auto,Two-Door Car,447.79344
file1.csv,KP34198,California,NA,Bachelor,334387.53%,0,92.0,1/0/00,Corporate Auto,Four-Door Car,529.624084
file1.csv,SH90947,Arizona,NA,High School or Below,229447.89%,0,62.0,1/0/00,Personal Auto,Four-Door Car,313.023175
file1.csv,WE95729,Oregon,NA,College,3670742.64%,24804,104.0,1/0/00,Personal Auto,SUV,593.830288
file1.csv,PY51963,California,NA,Bachelor,3347334.95%,33190,106.0,1/0/00,Corporate Auto,SUV,508.8
file1.csv,RB69909,Nevada,NA,High School or Below,798343.17%,36014,69.0,1/3/00,Special Auto,Four-Door Car,173.956072
file1.csv,NW21079,Washington,F,Master,487938.48%,67163,61.0,1/2/00,Personal Auto,Two-Door Car,33.192803
file1.csv,FR46645,California,NA,Bachelor,429399.73%,16701,113.0,1/0/00,Personal Auto,Four-Door Car,831.625979
file1.csv,SY17488,Arizona,NA,College,716439.55%,46623,91.0,1/0/00,Corporate Auto,Four-Door Car,436.8
file1.csv,AP67935,California,NA,College,761951.58%,64749,64.0,1/0/00,Special Auto,Four-Door Car,302.56519
file1.csv,FS37417,Arizona,NA,High School or Below,395800.28%,0,101.0,1/0/00,Personal Auto,SUV,484.8
file1.csv,ML29312,Oregon,NA,High School or Below,449949.33%,16969,124.0,1/2/00,Personal Auto,SUV,704.768111
file1.csv,UB61619,Oregon,NA,Master,405956.74%,11621,108.0,1/0/00,Personal Auto,Four-Door Car,518.4
file1.csv,CD86811,Arizona,NA,Bachelor,445811.34%,17622,65.0,1/1/00,Personal Auto,Four-Door Car,312
file1.csv,RU83859,California,NA,Bachelor,811033.31%,11489,105.0,1/0/00,Personal Auto,Two-Door Car,504
file1.csv,FG63582,Oregon,NA,Bachelor,333976.49%,0,94.0,1/0/00,Personal Auto,Two-Door Car,863.327324
file1.csv,NN71951,California,NA,High School or Below,2426101.78%,66525,100.0,1/0/00,Personal Auto,SUV,104.331355
file1.csv,WB37082,Arizona,NA,Bachelor,661397.37%,0,63.0,1/0/00,Personal Auto,Four-Door Car,676.391482
file1.csv,SM52139,Washington,NA,College,293069.35%,33663,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
file1.csv,FL82372,Oregon,NA,College,867219.43%,22547,112.0,1/0/00,Corporate Auto,SUV,537.6
file1.csv,DP45816,Arizona,NA,High School or Below,1163866.93%,61486,97.0,1/0/00,Personal Auto,Two-Door Car,465.258644
file1.csv,GW33762,Oregon,NA,Bachelor,684615.03%,0,95.0,1/0/00,Personal Auto,Two-Door Car,456
file1.csv,RZ33670,California,NA,College,1172777.65%,29879,102.0,1/0/00,Personal Auto,Four-Door Car,500.254235
file1.csv,PY70169,Oregon,NA,High School or Below,2264383.48%,93011,113.0,1/0/00,Personal Auto,SUV,281.451042
file1.csv,MO91628,Oregon,NA,Master,261447.43%,65186,65.0,1/0/00,Personal Auto,Two-Door Car,5.434505
file1.csv,HW87852,Oregon,NA,Master,245175.27%,26840,64.0,1/2/00,Personal Auto,Four-Door Car,307.2
file1.csv,HB20453,Oregon,NA,Bachelor,678127.02%,0,104.0,1/1/00,Personal Auto,Sports Car,982.399613
file1.csv,BN87372,Oregon,NA,Bachelor,497480.15%,75644,65.0,1/3/00,Personal Auto,Two-Door Car,467.803638
file1.csv,YX23800,Oregon,NA,Bachelor,859160.49%,38984,73.0,1/0/00,Personal Auto,Four-Door Car,350.4
file1.csv,DZ87709,Oregon,NA,High School or Below,559216.14%,71811,71.0,1/0/00,Personal Auto,Four-Door Car,29.03416
file1.csv,XW13033,Nevada,NA,College,800947.28%,20961,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
file1.csv,SP81997,Washington,F,Master,,41275,96.0,1/0/00,Personal Auto,Four-Door Car,41.122303
file1.csv,OM82309,California,NA,Bachelor,5816655.35%,61321,186.0,1/1/00,Personal Auto,Luxury Car,427.63121
file1.csv,ZU35962,California,NA,College,802522.94%,0,77.0,1/0/00,Personal Auto,Two-Door Car,25.807685
file1.csv,VH85817,California,NA,High School or Below,578018.22%,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313
file1.csv,DT85712,California,NA,Doctor,411853.91%,34378,102.0,1/0/00,Personal Auto,SUV,489.6
file1.csv,YJ88573,Nevada,NA,Master,252307.02%,43072,63.0,1/0/00,Personal Auto,Four-Door Car,302.4
file1.csv,SQ19467,Oregon,NA,College,655421.64%,25222,90.0,1/0/00,Personal Auto,Four-Door Car,475.623251
file1.csv,YB66933,Washington,F,Bachelor,538275.20%,77552,68.0,1/1/00,Corporate Auto,Four-Door Car,45.215059
file1.csv,ET79815,California,NA,College,592672.94%,23091,96.0,1/5/00,Personal Auto,Four-Door Car,460.8
file1.csv,QC35222,California,NA,Bachelor,268347.07%,48269,69.0,1/3/00,Corporate Auto,Four-Door Car,282.151207
file1.csv,CJ15590,Oregon,NA,Bachelor,269518.24%,32720,67.0,1/0/00,Personal Auto,Four-Door Car,321.6
file1.csv,OI48267,California,NA,College,604702.52%,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364.8
file1.csv,JY67916,Oregon,NA,College,1317101.28%,21513,119.0,1/1/00,Personal Auto,Two-Door Car,679.827592
file1.csv,OW15518,Washington,F,College,1595001.95%,0,87.0,1/1/00,Personal Auto,Two-Door Car,46.041452
file1.csv,CZ33664,Oregon,NA,Bachelor,252765.38%,80744,63.0,1/0/00,Corporate Auto,Four-Door Car,11.879037
file1.csv,WK30175,Oregon,NA,Bachelor,267209.58%,52822,67.0,1/0/00,Corporate Auto,Two-Door Car,350.529033
file1.csv,ON44465,California,NA,High School or Below,531329.40%,0,77.0,1/1/00,Personal Auto,Four-Door Car,863.3947
file1.csv,TV87155,Oregon,NA,Bachelor,2094619.25%,69738,74.0,1/1/00,Personal Auto,Four-Door Car,492.127532
file1.csv,KH48895,Arizona,NA,Master,837535.39%,17780,109.0,1/0/00,Personal Auto,SUV,132.588288
file1.csv,NZ30757,California,NA,Bachelor,480166.15%,18107,62.0,1/0/00,Personal Auto,Four-Door Car,297.6
file1.csv,RI22468,Arizona,NA,Bachelor,574594.33%,57740,74.0,1/3/00,Personal Auto,Four-Door Car,269.905129
file1.csv,FZ30935,Oregon,NA,College,606611.60%,32627,76.0,1/0/00,Personal Auto,Two-Door Car,380.036697
file1.csv,UG93476,California,NA,College,800230.83%,0,107.0,1/0/00,Personal Auto,SUV,513.6
file1.csv,AB96670,California,NA,College,239391.54%,0,70.0,1/0/00,Personal Auto,Four-Door Car,425.266308
file1.csv,XK64261,Oregon,NA,Bachelor,476281.79%,65795,62.0,1/1/00,Corporate Auto,Two-Door Car,49.011099
file1.csv,EV68375,California,NA,College,433038.60%,60475,107.0,1/0/00,Personal Auto,Four-Door Car,513.6
file1.csv,UN51653,California,NA,High School or Below,940272.98%,0,130.0,1/0/00,Personal Auto,SUV,936
file1.csv,TO96662,Oregon,NA,Bachelor,696669.45%,41837,88.0,1/0/00,Personal Auto,Four-Door Car,142.062768
file1.csv,MR52087,California,NA,Bachelor,769406.43%,32303,65.0,1/0/00,Personal Auto,Four-Door Car,45.152521
file1.csv,DE75225,Oregon,NA,High School or Below,871756.11%,0,117.0,1/1/00,Personal Auto,SUV,561.6
file1.csv,EP80820,California,NA,Bachelor,592874.85%,40531,74.0,1/0/00,Personal Auto,Two-Door Car,30.567357
file1.csv,GU99037,Oregon,NA,College,245297.73%,79898,62.0,1/1/00,Corporate Auto,Four-Door Car,271.606799
file1.csv,WI57118,California,NA,College,670157.17%,56398,85.0,1/0/00,Personal Auto,Four-Door Car,408
file1.csv,GP39118,Washington,M,High School or Below,499655.27%,71600,63.0,1/0/00,Personal Auto,Two-Door Car,46.158117
file1.csv,MQ14219,Arizona,NA,College,849269.88%,27804,109.0,1/0/00,Personal Auto,SUV,784.8
file1.csv,KN20603,Oregon,NA,Bachelor,771349.40%,45506,66.0,1/2/00,Personal Auto,Four-Door Car,316.8
file1.csv,SG20925,Washington,F,Master,518579.76%,99428,6464.0,1/1/00,Personal Auto,Four-Door Car,48.046869
file1.csv,JI70886,California,NA,High School or Below,729006.98%,0,102.0,1/1/00,Corporate Auto,SUV,489.6
file1.csv,VF72557,Oregon,NA,High School or Below,477294.38%,20993,133.0,1/0/00,Personal Auto,SUV,638.4
file1.csv,OX28638,Arizona,NA,High School or Below,680649.14%,37839,86.0,1/0/00,Personal Auto,Two-Door Car,465.633954
file1.csv,SK55033,California,NA,Bachelor,246978.13%,92711,62.0,1/0/00,Personal Auto,Two-Door Car,368.400146
file1.csv,OO88645,California,NA,College,310392.30%,74665,78.0,1/2/00,Corporate Auto,Four-Door Car,236.902001
file1.csv,FM14335,Washington,F,College,1048491.54%,61108,89.0,1/0/00,Personal Auto,Four-Door Car,49.451117
file1.csv,CW82151,California,NA,Bachelor,890273.76%,46833,112.0,1/0/00,Personal Auto,Sports Car,64.109663
file1.csv,DY22043,Oregon,NA,High School or Below,549944.72%,88768,68.0,1/0/00,Personal Auto,Two-Door Car,326.4
file1.csv,SH36774,California,NA,High School or Below,1502359.86%,28262,192.0,1/0/00,Personal Auto,Luxury SUV,921.6
file1.csv,EM43724,Nevada,NA,Bachelor,250910.79%,33555,63.0,1/0/00,Personal Auto,Four-Door Car,101.89645
file1.csv,FH85960,Oregon,NA,College,3122174.81%,42780,113.0,1/1/00,Personal Auto,Four-Door Car,542.4
file1.csv,XA55993,Oregon,NA,Master,313350.34%,58850,78.0,1/0/00,Personal Auto,Four-Door Car,143.747794
file1.csv,GO36627,Arizona,NA,College,383745.19%,21880,97.0,1/0/00,Special Auto,Four-Door Car,424.077159
file1.csv,QH48047,Oregon,NA,College,1179049.62%,25251,66.0,1/0/00,Personal Auto,Four-Door Car,316.8
file1.csv,HS28694,Washington,F,High School or Below,282986.39%,25317,71.0,1/0/00,Personal Auto,Two-Door Car,50.422181
file1.csv,UH65059,Arizona,NA,High School or Below,430580.83%,24188,109.0,1/0/00,Personal Auto,Sports Car,523.2
file1.csv,FV21968,Nevada,NA,Bachelor,597397.69%,41611,74.0,1/0/00,Special Auto,Four-Door Car,113.801497
file1.csv,QA87025,Oregon,NA,Bachelor,567044.24%,28406,72.0,1/1/00,Personal Auto,Four-Door Car,192.87572
file1.csv,TQ13499,Arizona,NA,College,473174.93%,69833,118.0,1/0/00,Personal Auto,Four-Door Car,828.662719
file1.csv,BU44523,Arizona,NA,High School or Below,802637.96%,0,74.0,1/0/00,Corporate Auto,Four-Door Car,532.8
file1.csv,MS41162,Arizona,NA,High School or Below,402296.35%,0,117.0,1/0/00,Personal Auto,SUV,975.107098
file1.csv,PU25891,Oregon,NA,High School or Below,961831.09%,80536,119.0,1/0/00,Special Auto,Sports Car,53.798708
file1.csv,LH92841,Washington,F,Bachelor,725595.38%,88891,89.0,1/0/00,Personal Auto,Four-Door Car,50.528355
file1.csv,SX26335,Oregon,NA,College,955292.69%,97732,79.0,1/0/00,Personal Auto,Four-Door Car,289.9122
file1.csv,AZ95587,Arizona,F,Bachelor,1038855.32%,61222,89.0,1/0/00,Special Auto,Four-Door Car,392.604371
file1.csv,DS81757,Oregon,M,College,247012.12%,0,74.0,1/0/00,Personal Auto,Two-Door Car,721.242206
file1.csv,OJ94107,Arizona,M,Master,561906.85%,50335,140.0,1/0/00,Personal Auto,SUV,456.52385
file1.csv,LP84436,California,F,High School or Below,904711.92%,0,127.0,1/0/00,Personal Auto,Sports Car,1087.995426
file1.csv,FF22360,Washington,F,Doctor,268731.41%,82210,68.0,1/4/00,Personal Auto,Four-Door Car,51.961915
file1.csv,LM19287,Oregon,F,High School or Below,373150.46%,0,96.0,1/0/00,Personal Auto,Four-Door Car,460.8
file1.csv,ZU18643,Nevada,M,Bachelor,366077.03%,64495,92.0,1/0/00,Corporate Auto,Four-Door Car,251.992083
file1.csv,AZ82578,California,F,College,792882.93%,0,72.0,1/0/00,Corporate Auto,Four-Door Car,345.6
file1.csv,XC67861,Arizona,F,Bachelor,501175.16%,28859,67.0,1/3/00,Corporate Auto,Two-Door Car,321.6
file1.csv,YC43143,Arizona,F,High School or Below,798825.83%,77330,99.0,1/0/00,Personal Auto,Four-Door Car,99.257608
file1.csv,EK59571,Oregon,M,College,388545.64%,0,105.0,1/0/00,Corporate Auto,Four-Door Car,504
file1.csv,PA38372,Washington,F,High School or Below,935773.78%,33060,117.0,1/0/00,Personal Auto,Four-Door Car,56.731578
file1.csv,RO18530,Washington,M,Master,254068.98%,42557,65.0,1/0/00,Personal Auto,Four-Door Car,57.562324
file1.csv,PD27940,Arizona,M,High School or Below,488516.25%,26372,126.0,1/0/00,Personal Auto,SUV,604.8
file1.csv,BS77946,Arizona,F,Bachelor,975330.71%,17514,127.0,1/0/00,Personal Auto,SUV,8.312729
file1.csv,YM50253,California,F,Bachelor,294615.37%,89270,74.0,1/0/00,Personal Auto,Four-Door Car,316.599228
file1.csv,NR15332,California,M,High School or Below,258111.09%,29757,65.0,1/0/00,Personal Auto,Four-Door Car,312
file1.csv,RC62865,Oregon,M,College,351738.58%,51814,92.0,1/0/00,Personal Auto,Four-Door Car,56.300724
file1.csv,CC15295,Oregon,F,Bachelor,974335.01%,24028,82.0,1/0/00,Personal Auto,Four-Door Car,393.6
file1.csv,KA61892,Arizona,M,College,387364.70%,28142,105.0,1/0/00,Personal Auto,Sports Car,701.708239
file1.csv,OS94884,Arizona,F,Bachelor,764928.20%,52705,64.0,1/1/00,Personal Auto,Two-Door Car,128.705563
file1.csv,ND87334,California,M,High School or Below,228759.69%,0,63.0,1/0/00,Corporate Auto,Two-Door Car,679.368378
file1.csv,OY51402,Washington,F,High School or Below,825576.39%,54040,103.0,1/0/00,Personal Auto,SUV,59.987126
file1.csv,YL74911,California,F,College,871492.21%,0,118.0,1/0/00,Personal Auto,SUV,566.4
file1.csv,GK92563,Washington,F,Doctor,681923.12%,22492,85.0,1/0/00,Personal Auto,Two-Door Car,61.654262
file1.csv,HL53154,California,M,Bachelor,741619.73%,0,77.0,1/2/00,Personal Auto,Four-Door Car,554.4
file1.csv,RI78966,Oregon,M,Master,777115.90%,21876,68.0,1/0/00,Personal Auto,Four-Door Car,465.41477
file1.csv,IC13702,California,F,Bachelor,696834.19%,0,69.0,1/1/00,Personal Auto,Four-Door Car,496.8
file1.csv,BE10809,California,F,High School or Below,425028.26%,0,61.0,1/1/00,Personal Auto,Four-Door Car,292.8
file1.csv,HT87217,Oregon,F,High School or Below,1977656.65%,70699,82.0,1/0/00,Personal Auto,Four-Door Car,256.813837
file1.csv,TH95618,California,F,High School or Below,2134346.60%,0,74.0,1/1/00,Personal Auto,Four-Door Car,355.2
file1.csv,TS19868,California,M,College,241313.97%,27501,63.0,1/0/00,Personal Auto,Four-Door Car,542.319401
file1.csv,LP45550,Oregon,F,Doctor,1536384.72%,15897,101.0,1/0/00,Personal Auto,Four-Door Car,303.148399
file1.csv,QR87004,Nevada,F,College,845696.19%,25141,73.0,1/1/00,Personal Auto,Four-Door Car,25.438063
file1.csv,OE75747,Nevada,F,College,218964.25%,0,61.0,1/3/00,Personal Auto,Four-Door Car,292.8
file1.csv,DX91392,California,M,High School or Below,578018.22%,51066,74.0,1/0/00,Personal Auto,Four-Door Car,787.993313
file1.csv,AB72731,California,F,Bachelor,463998.16%,28358,117.0,1/0/00,Personal Auto,Sports Car,84.024413
file1.csv,GX84338,Washington,F,Doctor,382443.13%,62530,95.0,1/0/00,Personal Auto,Four-Door Car,61.693771
file1.csv,IS12901,Arizona,F,Bachelor,596811.89%,90972,74.0,1/0/00,Personal Auto,Two-Door Car,232.926145
file1.csv,BN90616,Washington,F,Bachelor,859033.50%,63110,72.0,1/0/00,Personal Auto,Four-Door Car,68.179721
file1.csv,HH90090,California,F,Bachelor,407663.47%,29549,104.0,1/0/00,Personal Auto,Sports Car,710.433775
file1.csv,IU25463,California,F,Bachelor,1225260.18%,0,115.0,1/1/00,Personal Auto,Four-Door Car,552
file1.csv,KC11055,Nevada,F,Bachelor,1693627.15%,39411,217.0,1/2/00,Personal Auto,Luxury Car,1122.658899
file1.csv,PD33979,Oregon,M,High School or Below,489243.55%,21709,62.0,1/0/00,Personal Auto,Four-Door Car,408.374746
file1.csv,NK71023,Nevada,M,Bachelor,994230.48%,67890,85.0,1/0/00,Personal Auto,Four-Door Car,408
file1.csv,AB13432,California,M,Bachelor,373583.81%,0,110.0,1/0/00,Personal Auto,SUV,792
file1.csv,OZ97704,California,F,High School or Below,1311752.22%,84311,111.0,1/4/00,Personal Auto,SUV,532.8
file1.csv,UF46533,California,F,College,457452.41%,99316,114.0,1/0/00,Corporate Auto,SUV,754.358929
file1.csv,XP47431,Arizona,F,Bachelor,547006.06%,54507,138.0,1/0/00,Personal Auto,SUV,702.990032
file1.csv,GK73582,California,F,Bachelor,297884.60%,64586,76.0,1/0/00,Personal Auto,Four-Door Car,206.837111
file1.csv,RV98763,Oregon,M,College,641096.75%,61709,82.0,1/2/00,Personal Auto,Four-Door Car,275.395894
file1.csv,II62831,California,M,Master,447902.31%,94656,111.0,1/1/00,Special Auto,SUV,459.738128
file1.csv,XK33449,California,F,High School or Below,238373.19%,0,69.0,1/0/00,Special Auto,Two-Door Car,496.8
file1.csv,TR85083,California,M,Bachelor,276449.37%,61085,70.0,1/1/00,Personal Auto,Two-Door Car,336
file1.csv,EO95328,Oregon,F,Bachelor,792010.54%,89284,67.0,1/3/00,Personal Auto,Two-Door Car,321.6
file1.csv,EN21086,Arizona,F,High School or Below,688909.80%,0,63.0,1/0/00,Personal Auto,Four-Door Car,302.4
file1.csv,YL83902,Washington,F,Bachelor,327419.46%,31686,81.0,1/0/00,Personal Auto,Four-Door Car,430.994107
file1.csv,AZ62651,Oregon,M,High School or Below,995170.77%,56855,255.0,1/0/00,Corporate Auto,Luxury SUV,1836
file1.csv,ZW25874,Oregon,M,Bachelor,252155.57%,53703,67.0,1/2/00,Special Auto,Four-Door Car,67.632476
file1.csv,EH41854,Washington,F,High School or Below,2370611.34%,0,96.0,1/1/00,Personal Auto,Two-Door Car,844.481918
file1.csv,MW70227,California,M,College,604702.52%,20396,76.0,1/1/00,Personal Auto,Four-Door Car,364.8
file1.csv,SL22297,California,F,Master,1114030.25%,27679,150.0,1/0/00,Personal Auto,SUV,722.486994
file1.csv,RV14138,Nevada,F,Bachelor,433406.41%,23904,123.0,1/3/00,Personal Auto,SUV,590.4
file1.csv,UO62808,Arizona,F,High School or Below,279974.79%,65351,69.0,1/0/00,Corporate Auto,Four-Door Car,481.027516
file1.csv,ZX64745,California,M,College,792313.66%,0,113.0,1/0/00,Personal Auto,SUV,1124.427734
file1.csv,FL34139,California,M,High School or Below,368811.09%,0,63.0,1/3/00,Personal Auto,Four-Door Car,669.682001
file1.csv,TS11219,California,M,College,1206745.60%,0,116.0,1/0/00,Personal Auto,SUV,1284.093173
file1.csv,XX12304,California,F,College,292497.67%,64459,72.0,1/0/00,Personal Auto,Four-Door Car,240.259479
file1.csv,SD64087,California,M,College,1501409.27%,32961,190.0,1/0/00,Corporate Auto,SUV,912
file1.csv,OY38576,Oregon,F,High School or Below,927723.38%,71416,116.0,1/0/00,Corporate Auto,SUV,556.8
file1.csv,BG76355,Washington,F,Bachelor,627412.39%,68964,78.0,1/0/00,Personal Auto,Four-Door Car,115.086827
file1.csv,IP66913,California,M,High School or Below,388664.74%,78108,98.0,1/0/00,Personal Auto,Two-Door Car,470.4
file1.csv,LE95702,California,M,College,438627.76%,10621,67.0,1/0/00,Special Auto,Four-Door Car,321.6
file1.csv,KX54357,Washington,M,College,1136526.77%,84910,95.0,1/0/00,Corporate Auto,Two-Door Car,383.167471
file1.csv,EZ78112,California,F,High School or Below,561096.43%,77493,70.0,1/0/00,Special Auto,Four-Door Car,307.963291
file1.csv,XN16891,Arizona,M,College,291289.20%,81097,74.0,1/0/00,Personal Auto,Four-Door Car,355.2
file1.csv,XK31350,Oregon,F,College,691572.99%,96610,85.0,1/0/00,Corporate Auto,Four-Door Car,520.364752
file1.csv,CC30924,Oregon,M,College,626266.33%,30110,159.0,1/0/00,Corporate Auto,Sports Car,466.436375
file1.csv,IT78748,Oregon,F,High School or Below,650339.70%,22081,84.0,1/0/00,Special Auto,Two-Door Car,451.670309
file1.csv,KY33386,Washington,F,High School or Below,800739.94%,0,112.0,1/0/00,Personal Auto,Sports Car,537.6
file1.csv,CO44221,California,M,College,292991.65%,98473,72.0,1/0/00,Personal Auto,Four-Door Car,345.6
file1.csv,LK60013,Oregon,F,Bachelor,596955.30%,97431,74.0,1/0/00,Personal Auto,Four-Door Car,355.2
file1.csv,DE21533,California,M,Bachelor,547315.99%,93870,69.0,1/0/00,Personal Auto,Four-Door Car,331.2
file1.csv,YS94121,Nevada,M,High School or Below,564539.67%,50366,72.0,1/0/00,Personal Auto,Four-Door Car,428.734656
file1.csv,UK68427,Washington,M,High School or Below,636926.24%,34498,83.0,1/0/00,Personal Auto,Two-Door Car,398.4
file1.csv,TE49565,Oregon,F,College,1183376.73%,16552,103.0,1/0/00,Personal Auto,SUV,494.4
file1.csv,RA88421,Oregon,F,College,612110.79%,26787,77.0,1/0/00,Personal Auto,Four-Door Car,369.6
file1.csv,KQ51983,Nevada,M,College,515936.97%,0,74.0,1/0/00,Personal Auto,Two-Door Car,831.752839
file1.csv,CD88896,Nevada,F,High School or Below,251459.20%,43860,65.0,1/0/00,Corporate Auto,Four-Door Car,156.124914
file1.csv,YV22553,Arizona,M,High School or Below,866861.13%,21474,114.0,1/2/00,Corporate Auto,SUV,373.428187
file1.csv,WU14435,California,M,Bachelor,496096.54%,18174,66.0,1/0/00,Corporate Auto,Four-Door Car,395.934815
file1.csv,XV84099,Arizona,F,Bachelor,550413.90%,0,73.0,1/0/00,Corporate Auto,Four-Door Car,350.4
