Customer;ST;GENDER;Education;Customer Lifetime Value;Income;Monthly Premium Auto;Number of Open Complaints;Policy Type;Vehicle Class;Total Claim Amount
ZK25313;Oregon;NA;High School or Below;287205.13%; 57.749,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 355.2 
QK46697;Washington;Male;Bachelor;617710.93%; 61.040,00   ; 790.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 20.382.876   
YH23384;Arizona;NA;Bachelor;2412750.40%; 14.072,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 511.2 
TZ98966;Nevada;NA;Bachelor;245019.10%; -     ; 730.000.000.000   ;01/03/2000;Corporate Auto;Four-Door Car; 554.376.763   
HM55802;California;NA;Bachelor;239210.79%; 17.870,00   ; 610.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 439.2 
FS42516;Oregon;NA;College;580206.60%; 97.541,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 389.185.006   
US89481;California;NA;Bachelor;394637.21%; -     ; 1.110.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 799.2 
HS14476;Washington;Male;College;916206.32%; 29.723,00   ; 800.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 20.985.105   
GE62437;Arizona;NA;College;1290256.01%; 86.584,00   ; 1.110.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 532.8 
EJ77678;Oregon;NA;Master;323536.05%; 75.690,00   ; 800.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 384   
SV85652;Arizona;NA;College;245458.35%; 23.158,00   ; 630.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 322.294.043   
UL64533;Nevada;NA;High School or Below;1897545.61%; 65.999,00   ; 2.370.000.000.000   ;1/0/00;Corporate Auto;Luxury SUV; 615.927.769   
PF41800;California;NA;Bachelor;471532.13%; -     ; 650.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 30.815.089   
HD95276;Washington;Female;College;473787.17%; -     ; 1.300.000.000.000   ;1/0/00;Personal Auto;SUV; 23.820.158   
SK67821;Oregon;NA;Bachelor;493291.63%; 37.260,00   ; 620.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 15.437.681   
YV55495;Arizona;NA;High School or Below;574422.97%; 68.987,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 204.475.147   
KY38074;California;NA;Bachelor;1389173.57%; 42.305,00   ; 1.170.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 561.6 
DM79012;Oregon;NA;Master;738097.67%; 65.706,00   ; 910.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 436.8 
CM61827;Oregon;NA;Bachelor;309003.41%; -     ; 900.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 648   
WC35801;Arizona;NA;High School or Below;252163.31%; 53.243,00   ; 660.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 157.397.849   
QG25316;Nevada;NA;High School or Below;265206.18%; -     ; 700.000.000.000   ;01/01/2000;Corporate Auto;Two-Door Car; 484.318.536   
MB98372;Oregon;NA;College;277104.50%; 50.071,00   ; 710.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 18.918.935   
IL19217;California;NA;Bachelor;393900.64%; 60.021,00   ; 990.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 882.871.945   
SR38658;Arizona;NA;High School or Below;1223187.97%; 43.244,00   ; 1.030.000.000.000   ;1/0/00;Personal Auto;Sports Car; 494.4 
YD87931;Washington;Male;Doctor;495165.61%; 46.896,00   ; 353.540.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 31.707.317   
HG65722;Oregon;NA;Doctor;1281910.29%; 10.105,00   ; 1.720.000.000.000   ;01/03/2000;Personal Auto;SUV; 0.517753 
BU27331;Arizona;NA;Bachelor;446851.05%; -     ; 730.000.000.000   ;01/03/2000;Personal Auto;Four-Door Car; 579.165.954   
XM45289;Oregon;NA;High School or Below;551434.40%; 23.218,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 44.779.344   
KP34198;California;NA;Bachelor;334387.53%; -     ; 920.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 529.624.084   
SH90947;Arizona;NA;High School or Below;229447.89%; -     ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 313.023.175   
WE95729;Oregon;NA;College;3670742.64%; 24.804,00   ; 1.040.000.000.000   ;1/0/00;Personal Auto;SUV; 593.830.288   
PY51963;California;NA;Bachelor;3347334.95%; 33.190,00   ; 1.060.000.000.000   ;1/0/00;Corporate Auto;SUV; 508.8 
RB69909;Nevada;NA;High School or Below;798343.17%; 36.014,00   ; 690.000.000.000   ;01/03/2000;Special Auto;Four-Door Car; 173.956.072   
NW21079;Washington;Female;Master;487938.48%; 67.163,00   ; 610.000.000.000   ;01/02/2000;Personal Auto;Two-Door Car; 33.192.803   
FR46645;California;NA;Bachelor;429399.73%; 16.701,00   ; 1.130.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 831.625.979   
SY17488;Arizona;NA;College;716439.55%; 46.623,00   ; 910.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 436.8 
AP67935;California;NA;College;761951.58%; 64.749,00   ; 640.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 30.256.519   
FS37417;Arizona;NA;High School or Below;395800.28%; -     ; 1.010.000.000.000   ;1/0/00;Personal Auto;SUV; 484.8 
ML29312;Oregon;NA;High School or Below;449949.33%; 16.969,00   ; 1.240.000.000.000   ;01/02/2000;Personal Auto;SUV; 704.768.111   
UB61619;Oregon;NA;Master;405956.74%; 11.621,00   ; 1.080.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 518.4 
CD86811;Arizona;NA;Bachelor;445811.34%; 17.622,00   ; 650.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 312   
RU83859;California;NA;Bachelor;811033.31%; 11.489,00   ; 1.050.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 504   
FG63582;Oregon;NA;Bachelor;333976.49%; -     ; 940.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 863.327.324   
NN71951;California;NA;High School or Below;2426101.78%; 66.525,00   ; 1.000.000.000.000   ;1/0/00;Personal Auto;SUV; 104.331.355   
WB37082;Arizona;NA;Bachelor;661397.37%; -     ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 676.391.482   
SM52139;Washington;NA;College;293069.35%; 33.663,00   ; 730.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 350.4 
FL82372;Oregon;NA;College;867219.43%; 22.547,00   ; 1.120.000.000.000   ;1/0/00;Corporate Auto;SUV; 537.6 
DP45816;Arizona;NA;High School or Below;1163866.93%; 61.486,00   ; 970.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 465.258.644   
GW33762;Oregon;NA;Bachelor;684615.03%; -     ; 950.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 456   
RZ33670;California;NA;College;1172777.65%; 29.879,00   ; 1.020.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 500.254.235   
PY70169;Oregon;NA;High School or Below;2264383.48%; 93.011,00   ; 1.130.000.000.000   ;1/0/00;Personal Auto;SUV; 281.451.042   
MO91628;Oregon;NA;Master;261447.43%; 65.186,00   ; 650.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 5.434.505   
HW87852;Oregon;NA;Master;245175.27%; 26.840,00   ; 640.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 307.2 
HB20453;Oregon;NA;Bachelor;678127.02%; -     ; 1.040.000.000.000   ;01/01/2000;Personal Auto;Sports Car; 982.399.613   
BN87372;Oregon;NA;Bachelor;497480.15%; 75.644,00   ; 650.000.000.000   ;01/03/2000;Personal Auto;Two-Door Car; 467.803.638   
YX23800;Oregon;NA;Bachelor;859160.49%; 38.984,00   ; 730.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 350.4 
DZ87709;Oregon;NA;High School or Below;559216.14%; 71.811,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 2.903.416   
XW13033;Nevada;NA;College;800947.28%; 20.961,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 321.6 
SP81997;Washington;Female;Master;; 41.275,00   ; 960.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 41.122.303   
OM82309;California;NA;Bachelor;5816655.35%; 61.321,00   ; 1.860.000.000.000   ;01/01/2000;Personal Auto;Luxury Car; 42.763.121   
ZU35962;California;NA;College;802522.94%; -     ; 770.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 25.807.685   
VH85817;California;NA;High School or Below;578018.22%; 51.066,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 787.993.313   
DT85712;California;NA;Doctor;411853.91%; 34.378,00   ; 1.020.000.000.000   ;1/0/00;Personal Auto;SUV; 489.6 
YJ88573;Nevada;NA;Master;252307.02%; 43.072,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 302.4 
SQ19467;Oregon;NA;College;655421.64%; 25.222,00   ; 900.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 475.623.251   
YB66933;Washington;Female;Bachelor;538275.20%; 77.552,00   ; 680.000.000.000   ;01/01/2000;Corporate Auto;Four-Door Car; 45.215.059   
ET79815;California;NA;College;592672.94%; 23.091,00   ; 960.000.000.000   ;01/05/2000;Personal Auto;Four-Door Car; 460.8 
QC35222;California;NA;Bachelor;268347.07%; 48.269,00   ; 690.000.000.000   ;01/03/2000;Corporate Auto;Four-Door Car; 282.151.207   
CJ15590;Oregon;NA;Bachelor;269518.24%; 32.720,00   ; 670.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 321.6 
OI48267;California;NA;College;604702.52%; 20.396,00   ; 760.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 364.8 
JY67916;Oregon;NA;College;1317101.28%; 21.513,00   ; 1.190.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 679.827.592   
OW15518;Washington;Female;College;1595001.95%; -     ; 870.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 46.041.452   
CZ33664;Oregon;NA;Bachelor;252765.38%; 80.744,00   ; 630.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 11.879.037   
WK30175;Oregon;NA;Bachelor;267209.58%; 52.822,00   ; 670.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 350.529.033   
ON44465;California;NA;High School or Below;531329.40%; -     ; 770.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 8.633.947   
TV87155;Oregon;NA;Bachelor;2094619.25%; 69.738,00   ; 740.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 492.127.532   
KH48895;Arizona;NA;Master;837535.39%; 17.780,00   ; 1.090.000.000.000   ;1/0/00;Personal Auto;SUV; 132.588.288   
NZ30757;California;NA;Bachelor;480166.15%; 18.107,00   ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 297.6 
RI22468;Arizona;NA;Bachelor;574594.33%; 57.740,00   ; 740.000.000.000   ;01/03/2000;Personal Auto;Four-Door Car; 269.905.129   
FZ30935;Oregon;NA;College;606611.60%; 32.627,00   ; 760.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 380.036.697   
UG93476;California;NA;College;800230.83%; -     ; 1.070.000.000.000   ;1/0/00;Personal Auto;SUV; 513.6 
AB96670;California;NA;College;239391.54%; -     ; 700.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 425.266.308   
XK64261;Oregon;NA;Bachelor;476281.79%; 65.795,00   ; 620.000.000.000   ;01/01/2000;Corporate Auto;Two-Door Car; 49.011.099   
EV68375;California;NA;College;433038.60%; 60.475,00   ; 1.070.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 513.6 
UN51653;California;NA;High School or Below;940272.98%; -     ; 1.300.000.000.000   ;1/0/00;Personal Auto;SUV; 936   
TO96662;Oregon;NA;Bachelor;696669.45%; 41.837,00   ; 880.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 142.062.768   
MR52087;California;NA;Bachelor;769406.43%; 32.303,00   ; 650.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 45.152.521   
DE75225;Oregon;NA;High School or Below;871756.11%; -     ; 1.170.000.000.000   ;01/01/2000;Personal Auto;SUV; 561.6 
EP80820;California;NA;Bachelor;592874.85%; 40.531,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 30.567.357   
GU99037;Oregon;NA;College;245297.73%; 79.898,00   ; 620.000.000.000   ;01/01/2000;Corporate Auto;Four-Door Car; 271.606.799   
WI57118;California;NA;College;670157.17%; 56.398,00   ; 850.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 408   
GP39118;Washington;Male;High School or Below;499655.27%; 71.600,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 46.158.117   
MQ14219;Arizona;NA;College;849269.88%; 27.804,00   ; 1.090.000.000.000   ;1/0/00;Personal Auto;SUV; 784.8 
KN20603;Oregon;NA;Bachelor;771349.40%; 45.506,00   ; 660.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 316.8 
SG20925;Washington;Female;Master;518579.76%; 99.428,00   ; 64.640.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 48.046.869   
JI70886;California;NA;High School or Below;729006.98%; -     ; 1.020.000.000.000   ;01/01/2000;Corporate Auto;SUV; 489.6 
VF72557;Oregon;NA;High School or Below;477294.38%; 20.993,00   ; 1.330.000.000.000   ;1/0/00;Personal Auto;SUV; 638.4 
OX28638;Arizona;NA;High School or Below;680649.14%; 37.839,00   ; 860.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 465.633.954   
SK55033;California;NA;Bachelor;246978.13%; 92.711,00   ; 620.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 368.400.146   
OO88645;California;NA;College;310392.30%; 74.665,00   ; 780.000.000.000   ;01/02/2000;Corporate Auto;Four-Door Car; 236.902.001   
FM14335;Washington;Female;College;1048491.54%; 61.108,00   ; 890.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 49.451.117   
CW82151;California;NA;Bachelor;890273.76%; 46.833,00   ; 1.120.000.000.000   ;1/0/00;Personal Auto;Sports Car; 64.109.663   
DY22043;Oregon;NA;High School or Below;549944.72%; 88.768,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 326.4 
SH36774;California;NA;High School or Below;1502359.86%; 28.262,00   ; 1.920.000.000.000   ;1/0/00;Personal Auto;Luxury SUV; 921.6 
EM43724;Nevada;NA;Bachelor;250910.79%; 33.555,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 10.189.645   
FH85960;Oregon;NA;College;3122174.81%; 42.780,00   ; 1.130.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 542.4 
XA55993;Oregon;NA;Master;313350.34%; 58.850,00   ; 780.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 143.747.794   
GO36627;Arizona;NA;College;383745.19%; 21.880,00   ; 970.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 424.077.159   
QH48047;Oregon;NA;College;1179049.62%; 25.251,00   ; 660.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 316.8 
HS28694;Washington;Female;High School or Below;282986.39%; 25.317,00   ; 710.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 50.422.181   
UH65059;Arizona;NA;High School or Below;430580.83%; 24.188,00   ; 1.090.000.000.000   ;1/0/00;Personal Auto;Sports Car; 523.2 
FV21968;Nevada;NA;Bachelor;597397.69%; 41.611,00   ; 740.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 113.801.497   
QA87025;Oregon;NA;Bachelor;567044.24%; 28.406,00   ; 720.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 19.287.572   
TQ13499;Arizona;NA;College;473174.93%; 69.833,00   ; 1.180.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 828.662.719   
BU44523;Arizona;NA;High School or Below;802637.96%; -     ; 740.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 532.8 
MS41162;Arizona;NA;High School or Below;402296.35%; -     ; 1.170.000.000.000   ;1/0/00;Personal Auto;SUV; 975.107.098   
PU25891;Oregon;NA;High School or Below;961831.09%; 80.536,00   ; 1.190.000.000.000   ;1/0/00;Special Auto;Sports Car; 53.798.708   
LH92841;Washington;Female;Bachelor;725595.38%; 88.891,00   ; 890.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 50.528.355   
SX26335;Oregon;NA;College;955292.69%; 97.732,00   ; 790.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 2.899.122   
AZ95587;Arizona;Female;Bachelor;1038855.32%; 61.222,00   ; 890.000.000.000   ;1/0/00;Special Auto;Four-Door Car; 392.604.371   
DS81757;Oregon;Male;College;247012.12%; -     ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 721.242.206   
OJ94107;Arizona;Male;Master;561906.85%; 50.335,00   ; 1.400.000.000.000   ;1/0/00;Personal Auto;SUV; 45.652.385   
LP84436;California;Female;High School or Below;904711.92%; -     ; 1.270.000.000.000   ;1/0/00;Personal Auto;Sports Car; 1.087.995.426   
FF22360;Washington;Female;Doctor;268731.41%; 82.210,00   ; 680.000.000.000   ;01/04/2000;Personal Auto;Four-Door Car; 51.961.915   
LM19287;Oregon;Female;High School or Below;373150.46%; -     ; 960.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 460.8 
ZU18643;Nevada;Male;Bachelor;366077.03%; 64.495,00   ; 920.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 251.992.083   
AZ82578;California;Female;College;792882.93%; -     ; 720.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 345.6 
XC67861;Arizona;Female;Bachelor;501175.16%; 28.859,00   ; 670.000.000.000   ;01/03/2000;Corporate Auto;Two-Door Car; 321.6 
YC43143;Arizona;Female;High School or Below;798825.83%; 77.330,00   ; 990.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 99.257.608   
EK59571;Oregon;Male;College;388545.64%; -     ; 1.050.000.000.000   ;1/0/00;Corporate Auto;Four-Door Car; 504   
PA38372;Washington;Female;High School or Below;935773.78%; 33.060,00   ; 1.170.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 56.731.578   
RO18530;Washington;Male;Master;254068.98%; 42.557,00   ; 650.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 57.562.324   
PD27940;Arizona;Male;High School or Below;488516.25%; 26.372,00   ; 1.260.000.000.000   ;1/0/00;Personal Auto;SUV; 604.8 
BS77946;Arizona;Female;Bachelor;975330.71%; 17.514,00   ; 1.270.000.000.000   ;1/0/00;Personal Auto;SUV; 8.312.729   
YM50253;California;Female;Bachelor;294615.37%; 89.270,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 316.599.228   
NR15332;California;Male;High School or Below;258111.09%; 29.757,00   ; 650.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 312   
RC62865;Oregon;Male;College;351738.58%; 51.814,00   ; 920.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 56.300.724   
CC15295;Oregon;Female;Bachelor;974335.01%; 24.028,00   ; 820.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 393.6 
KA61892;Arizona;Male;College;387364.70%; 28.142,00   ; 1.050.000.000.000   ;1/0/00;Personal Auto;Sports Car; 701.708.239   
OS94884;Arizona;Female;Bachelor;764928.20%; 52.705,00   ; 640.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 128.705.563   
ND87334;California;Male;High School or Below;228759.69%; -     ; 630.000.000.000   ;1/0/00;Corporate Auto;Two-Door Car; 679.368.378   
OY51402;Washington;Female;High School or Below;825576.39%; 54.040,00   ; 1.030.000.000.000   ;1/0/00;Personal Auto;SUV; 59.987.126   
YL74911;California;Female;College;871492.21%; -     ; 1.180.000.000.000   ;1/0/00;Personal Auto;SUV; 566.4 
GK92563;Washington;Female;Doctor;681923.12%; 22.492,00   ; 850.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 61.654.262   
HL53154;California;Male;Bachelor;741619.73%; -     ; 770.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 554.4 
RI78966;Oregon;Male;Master;777115.90%; 21.876,00   ; 680.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 46.541.477   
IC13702;California;Female;Bachelor;696834.19%; -     ; 690.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 496.8 
BE10809;California;Female;High School or Below;425028.26%; -     ; 610.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 292.8 
HT87217;Oregon;Female;High School or Below;1977656.65%; 70.699,00   ; 820.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 256.813.837   
TH95618;California;Female;High School or Below;2134346.60%; -     ; 740.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 355.2 
TS19868;California;Male;College;241313.97%; 27.501,00   ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 542.319.401   
LP45550;Oregon;Female;Doctor;1536384.72%; 15.897,00   ; 1.010.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 303.148.399   
QR87004;Nevada;Female;College;845696.19%; 25.141,00   ; 730.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 25.438.063   
OE75747;Nevada;Female;College;218964.25%; -     ; 610.000.000.000   ;01/03/2000;Personal Auto;Four-Door Car; 292.8 
DX91392;California;Male;High School or Below;578018.22%; 51.066,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 787.993.313   
AB72731;California;Female;Bachelor;463998.16%; 28.358,00   ; 1.170.000.000.000   ;1/0/00;Personal Auto;Sports Car; 84.024.413   
GX84338;Washington;Female;Doctor;382443.13%; 62.530,00   ; 950.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 61.693.771   
IS12901;Arizona;Female;Bachelor;596811.89%; 90.972,00   ; 740.000.000.000   ;1/0/00;Personal Auto;Two-Door Car; 232.926.145   
BN90616;Washington;Female;Bachelor;859033.50%; 63.110,00   ; 720.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 68.179.721   
HH90090;California;Female;Bachelor;407663.47%; 29.549,00   ; 1.040.000.000.000   ;1/0/00;Personal Auto;Sports Car; 710.433.775   
IU25463;California;Female;Bachelor;1225260.18%; -     ; 1.150.000.000.000   ;01/01/2000;Personal Auto;Four-Door Car; 552   
KC11055;Nevada;Female;Bachelor;1693627.15%; 39.411,00   ; 2.170.000.000.000   ;01/02/2000;Personal Auto;Luxury Car; 1.122.658.899   
PD33979;Oregon;Male;High School or Below;489243.55%; 21.709,00   ; 620.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 408.374.746   
NK71023;Nevada;Male;Bachelor;994230.48%; 67.890,00   ; 850.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 408   
AB13432;California;Male;Bachelor;373583.81%; -     ; 1.100.000.000.000   ;1/0/00;Personal Auto;SUV; 792   
OZ97704;California;Female;High School or Below;1311752.22%; 84.311,00   ; 1.110.000.000.000   ;01/04/2000;Personal Auto;SUV; 532.8 
UF46533;California;Female;College;457452.41%; 99.316,00   ; 1.140.000.000.000   ;1/0/00;Corporate Auto;SUV; 754.358.929   
XP47431;Arizona;Female;Bachelor;547006.06%; 54.507,00   ; 1.380.000.000.000   ;1/0/00;Personal Auto;SUV; 702.990.032   
GK73582;California;Female;Bachelor;297884.60%; 64.586,00   ; 760.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 206.837.111   
RV98763;Oregon;Male;College;641096.75%; 61.709,00   ; 820.000.000.000   ;01/02/2000;Personal Auto;Four-Door Car; 275.395.894   
II62831;California;Male;Master;447902.31%; 94.656,00   ; 1.110.000.000.000   ;01/01/2000;Special Auto;SUV; 459.738.128   
XK33449;California;Female;High School or Below;238373.19%; -     ; 690.000.000.000   ;1/0/00;Special Auto;Two-Door Car; 496.8 
TR85083;California;Male;Bachelor;276449.37%; 61.085,00   ; 700.000.000.000   ;01/01/2000;Personal Auto;Two-Door Car; 336   
EO95328;Oregon;Female;Bachelor;792010.54%; 89.284,00   ; 670.000.000.000   ;01/03/2000;Personal Auto;Two-Door Car; 321.6 
EN21086;Arizona;Female;High School or Below;688909.80%; -     ; 630.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 302.4 
YL83902;Washington;Female;Bachelor;327419.46%; 31.686,00   ; 810.000.000.000   ;1/0/00;Personal Auto;Four-Door Car; 430.994.107   
AZ62651;Oregon;Male;High School or Below;995170.77%; 56.855,00   ; 2.550.000.000.000   ;1/0/00;Corporate Auto;Luxury SUV; 1.836   
